JDtimes, Fluxes, Uncertainty
2559.058927,165.393778,19.5425232
2559.059608,222.153283,19.22218928
2559.060289,173.011909,19.49363112
2559.060970,271.920307,19.00271701
2559.061651,196.477138,19.35554106
2559.062332,136.767436,19.74886435
2559.063013,187.995536,19.40345228
2559.063694,267.414094,19.02086038
2559.064375,220.207141,19.23174262
2559.065056,227.253241,19.19754591
2559.065737,264.760536,19.03168799
2559.066418,245.327965,19.11445348
2559.067099,273.695574,18.99565168
2559.067781,243.827517,19.12111433
2559.068462,222.908478,19.21850465
2559.069143,190.270749,19.39039105
2559.069824,215.796802,19.25370861
2559.070505,184.787767,19.42213808
2559.071186,218.922103,19.23809709
2559.071867,230.590058,19.18171967
2559.072548,238.679624,19.14428275
2559.073229,264.309009,19.0335412
2559.073910,210.788548,19.27920359
2559.074591,227.290080,19.19736991
2559.075272,230.250586,19.18331926
2559.075954,200.789070,19.33197095
2559.076635,250.770442,19.09063025
2559.077316,228.601934,19.19112137
2559.077997,226.456534,19.20135898
2559.078678,229.551923,19.18661878
2559.079359,235.831935,19.15731458
2559.080040,238.000121,19.14737817
2559.080721,218.918077,19.23811706
2559.081402,239.780604,19.13928599
2559.082083,248.261482,19.10154776
2559.082764,238.895961,19.1432991
2559.083445,223.680958,19.21474858
2559.084126,230.913326,19.18019863
2559.084808,253.524115,19.07877293
2559.085489,207.129396,19.29821677
2559.086170,235.651400,19.15814606
2559.086851,193.792839,19.3704768
2559.087532,222.912750,19.21848385
2559.088213,225.903991,19.20401136
2559.088894,247.259032,19.1059407
2559.089575,236.007068,19.15650859
2559.090256,208.161529,19.29281994
2559.090937,219.555815,19.23495876
2559.091618,215.441321,19.25549861
2559.092299,164.872347,19.54595157
2559.092981,215.947194,19.2529522
2559.093662,245.556514,19.11344247
2559.094343,235.291251,19.15980667
2559.095024,208.079226,19.29324931
2559.095705,193.893079,19.36991535
2559.096386,219.170973,19.23686353
2559.097067,237.827454,19.14816615
2559.097748,236.104242,19.15606164
2559.098429,246.800408,19.10795644
2559.099110,255.728534,19.06937314
2559.099791,237.438389,19.14994378
2559.100472,214.674415,19.25937039
2559.101153,267.534933,19.02036987
2559.101835,234.609947,19.16295507
2559.102516,212.865954,19.2685556
2559.103197,222.873500,19.21867503
2559.103878,299.007246,18.89961683
2559.104559,265.592807,19.02828034
2559.105240,265.725228,19.02773914
2559.105921,265.591415,19.02828603
2559.106602,258.269576,19.05863799
2559.107283,307.484026,18.86926472
2559.107964,254.463113,19.07475903
2559.108645,264.799272,19.03152915
2559.109327,228.272558,19.19268686
2559.110008,283.824675,18.95619574
2559.110689,264.146094,19.03421064
2559.111370,258.811648,19.05636157
2559.112051,277.275416,18.9815427
2559.112732,228.758849,19.19037636
2559.113413,256.706462,19.06522912
2559.114094,239.959014,19.13847845
2559.114775,226.329625,19.20196761
2559.115456,230.666002,19.18136215
2559.116137,242.314533,19.12787246
2559.116818,238.561410,19.14482064
2559.117499,253.862064,19.0773266
2559.118181,249.521848,19.09604967
2559.118862,215.537708,19.25501297
2559.119543,373.333815,18.6585778
2559.120224,205.981226,19.30425202
2559.120905,99.586332,20.09332177
2559.122267,46.669835,20.91623044
2559.122948,301.604704,18.89022584
2559.124310,192.897950,19.37550209
2559.124991,187.096392,19.40865758
2559.125672,227.800967,19.19493221
2559.126354,204.089266,19.31427071
2559.127035,212.660353,19.26960479
2559.127716,243.281451,19.12354862
2559.128397,229.262878,19.18798677
2559.129078,218.481701,19.24028345
