JDtimes,observed fluxes,observed uncertainties
62.684573,16200.0,6.09
62.705005000000256,18400.0,6.09
62.725437000000056,24100.0,6.09
62.74586900000031,28800.0,6.08
62.76630100000011,30800.0,6.08
62.78673299999991,30900.0,6.08
62.80716500000017,30900.0,6.08
62.827596000000085,30800.0,6.07
62.848027999999886,30700.0,6.07
62.86846000000014,30400.0,6.07
62.88889199999994,30000.0,6.07
62.9093240000002,29400.0,6.06
63.07277900000008,29100.0,6.05
63.09321099999988,30300.0,6.05
63.11364300000014,31600.0,6.05
63.13407499999994,32500.0,6.05
63.154507000000194,32600.0,6.04
63.174938999999995,32700.0,6.04
63.19537100000025,32700.0,6.04
63.21580300000005,32600.0,6.04
63.23623399999997,32400.0,6.03
63.25666600000022,32000.0,6.03
63.277098000000024,31700.0,6.03
63.29753000000028,31200.0,6.03
63.31796200000008,30700.0,6.02
63.33839399999988,30200.0,6.02
63.358826000000136,29400.0,6.02
63.379257999999936,26400.0,6.02
63.39969000000019,21100.0,6.01
63.42012199999999,15800.0,6.01
63.44055400000025,14800.0,6.0
